City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,14.16,73,100,13.8,overcast clouds
1,Albany,US,42.6001,-73.9662,31.37,74,32,1.99,scattered clouds
2,Ushuaia,AR,-54.8,-68.3,49.66,57,20,11.5,few clouds
3,Jamestown,US,42.097,-79.2353,27.72,79,100,10.36,overcast clouds
4,Busselton,AU,-33.65,115.3333,68.04,57,0,6.31,clear sky
5,Nanortalik,GL,60.1432,-45.2371,9.59,63,9,17.31,clear sky
6,Erenhot,CN,43.6475,111.9767,9.73,77,20,10.49,few clouds
7,Punta Arenas,CL,-53.15,-70.9167,53.71,54,75,10.36,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,78.96,71,81,13.94,light rain
9,Sinnamary,GF,5.3833,-52.95,76.8,85,29,5.99,scattered clouds
10,Pangnirtung,CA,66.1451,-65.7125,-7.4,97,100,4.52,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,65.08,82,0,4.61,clear sky
12,Hobart,AU,-42.8794,147.3294,78.26,53,20,9.22,few clouds
13,Karangampel,ID,-6.4622,108.4519,80.35,79,100,7.58,overcast clouds
14,Butaritari,KI,3.0707,172.7902,82.27,76,97,15.5,light rain
15,Gat,IL,31.61,34.7642,52.39,48,5,6.4,clear sky
16,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-15.34,100,97,0.83,overcast clouds
17,Te Anau,NZ,-45.4167,167.7167,68.25,64,100,0.85,overcast clouds
18,Hilo,US,19.7297,-155.09,76.24,79,75,8.05,broken clouds
19,Lisala,CD,2.15,21.5167,69.49,38,56,2.33,broken clouds
20,East London,ZA,-33.0153,27.9116,72.95,91,23,13.51,few clouds
21,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,87,9.69,overcast clouds
22,Vaini,TO,-21.2,-175.2,84.36,94,40,13.8,scattered clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,-40.0,67,20,3.44,mist
24,Fortuna,US,40.5982,-124.1573,64.42,79,0,10.36,clear sky
25,De-Kastri,RU,51.4667,140.7833,11.62,86,100,15.64,overcast clouds
26,Sonepur,IN,20.8333,83.9167,57.67,51,5,3.87,clear sky
27,New Norfolk,AU,-42.7826,147.0587,77.92,30,92,1.99,overcast clouds
28,Hangzhou,CN,30.2937,120.1614,40.91,95,100,3.47,light rain
29,Chuy,UY,-33.6971,-53.4616,63.32,79,8,6.46,clear sky
30,Norman Wells,CA,65.282,-126.8329,-23.76,57,75,0.0,broken clouds
31,Karacakoy,TR,41.4029,28.3834,42.67,72,89,25.41,overcast clouds
32,Bluff,NZ,-46.6,168.3333,62.8,80,100,13.24,overcast clouds
33,Tommot,RU,58.9564,126.2925,-6.72,96,100,1.68,overcast clouds
34,Yulara,AU,-25.2406,130.9889,80.44,36,75,18.41,broken clouds
35,Mataura,NZ,-46.1927,168.8643,62.47,69,100,5.3,overcast clouds
36,Ugoofaaru,MV,5.6667,73.0,80.94,68,98,11.07,overcast clouds
37,Balad,IQ,34.0164,44.1453,52.95,50,71,6.71,broken clouds
38,Palmer,US,42.1584,-72.3287,34.97,66,40,5.75,scattered clouds
39,Kutum,SD,14.2,24.6667,54.12,20,0,5.48,clear sky
40,Georgetown,MY,5.4112,100.3354,78.73,91,40,3.44,scattered clouds
41,Sao Filipe,CV,14.8961,-24.4956,72.57,73,2,1.01,clear sky
42,Uribia,CO,11.7139,-72.266,79.74,74,68,17.6,broken clouds
43,Santarem,BR,-2.4431,-54.7083,77.13,100,40,0.0,scattered clouds
44,Auchi,NG,7.0667,6.2667,70.74,88,4,4.56,clear sky
45,Prescott,US,34.54,-112.4685,61.16,14,0,8.05,clear sky
46,Port Alfred,ZA,-33.5906,26.891,69.96,90,27,13.65,scattered clouds
47,Half Moon Bay,US,37.4636,-122.4286,73.31,64,0,9.22,clear sky
48,Campbell River,CA,50.0163,-125.2446,44.13,93,100,9.22,mist
49,San Patricio,US,28.017,-97.5169,61.21,44,0,8.88,clear sky
50,Dikson,RU,73.5069,80.5464,3.43,94,100,22.53,overcast clouds
51,Neiafu,TO,-18.65,-173.9833,77.68,88,100,8.05,overcast clouds
52,Xining,CN,36.6167,101.7667,9.57,84,34,2.53,scattered clouds
53,Puerto Ayora,EC,-0.7393,-90.3518,74.16,80,58,5.44,broken clouds
54,Santander,ES,43.4647,-3.8044,49.46,85,0,7.0,clear sky
55,Cherskiy,RU,68.75,161.3,-36.85,97,73,3.89,broken clouds
56,Shitanjing,CN,39.2342,106.3439,11.5,64,0,3.83,clear sky
57,Barrow,US,71.2906,-156.7887,-29.18,100,0,6.91,haze
58,Keti Bandar,PK,24.1447,67.4497,68.65,61,0,8.84,clear sky
59,Thinadhoo,MV,0.5333,72.9333,82.92,66,100,13.27,overcast clouds
60,Alice Springs,AU,-23.7,133.8833,80.15,65,88,8.05,overcast clouds
61,Vulcan,RO,45.3833,23.2667,25.23,87,58,7.09,broken clouds
62,Kruisfontein,ZA,-34.0033,24.7314,64.74,63,99,7.94,overcast clouds
63,Kisangani,CD,0.5167,25.2,73.96,62,88,0.6,overcast clouds
64,Bengkulu,ID,-3.8004,102.2655,77.2,82,98,5.68,overcast clouds
65,Mount Gambier,AU,-37.8333,140.7667,69.71,64,100,10.36,overcast clouds
66,Waterford,US,42.7023,-83.4027,24.84,75,75,9.22,broken clouds
67,Hithadhoo,MV,-0.6,73.0833,82.13,71,100,14.41,overcast clouds
68,Kapaa,US,22.0752,-159.319,80.19,66,40,10.36,scattered clouds
69,Ilhabela,BR,-23.7781,-45.3581,73.26,83,36,5.41,scattered clouds
70,Tura,IN,25.5198,90.2201,52.75,73,1,2.95,clear sky
71,Gerash,IR,27.6652,54.1371,42.94,42,0,1.66,clear sky
72,Qaanaaq,GL,77.484,-69.3632,-14.24,90,100,5.08,overcast clouds
73,Atuona,PF,-9.8,-139.0333,78.82,75,19,16.58,few clouds
74,Bud,US,39.447,-86.1758,44.69,65,6,11.99,clear sky
75,Nokha,IN,27.6,73.4167,58.44,67,17,8.23,few clouds
76,Sibolga,ID,1.7427,98.7792,75.85,89,100,3.71,overcast clouds
77,Cortes,ES,41.9395,-1.4396,44.6,75,5,5.48,clear sky
78,Luderitz,NA,-26.6481,15.1594,72.37,67,0,10.42,clear sky
79,Kilindoni,TZ,-7.9139,39.6668,80.56,75,100,13.71,overcast clouds
80,George,ZA,-33.963,22.4617,63.95,88,0,5.75,clear sky
81,Carnarvon,AU,-24.8667,113.6333,80.67,47,0,17.27,clear sky
82,Grindavik,IS,63.8424,-22.4338,30.67,86,75,27.63,light snow
83,Pevek,RU,69.7008,170.3133,-29.83,100,91,3.98,overcast clouds
84,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,0,8.05,clear sky
85,Avarua,CK,-21.2078,-159.775,78.85,89,20,8.05,drizzle
86,Talcahuano,CL,-36.7167,-73.1167,61.84,77,0,16.26,clear sky
87,Lompoc,US,34.6391,-120.4579,77.14,55,0,11.5,clear sky
88,Yellowknife,CA,62.456,-114.3525,-14.58,81,75,4.61,broken clouds
89,Victoria,HK,22.2855,114.1577,62.26,81,100,5.01,overcast clouds
90,Kahului,US,20.8947,-156.47,82.42,64,20,17.27,few clouds
91,Tasiilaq,GL,65.6145,-37.6368,21.36,79,100,8.43,overcast clouds
92,Ostrovnoy,RU,68.0531,39.5131,15.62,86,99,20.0,overcast clouds
93,Tshikapa,CD,-6.4167,20.8,71.15,95,100,1.66,overcast clouds
94,Skjervoy,NO,70.0311,20.9714,31.73,64,100,14.83,overcast clouds
95,Mangrol,IN,21.1167,70.1167,66.04,84,30,9.8,scattered clouds
96,Tongliao,CN,43.6125,122.2653,17.37,81,99,8.72,overcast clouds
97,Nikolskoye,RU,59.7035,30.7861,31.71,97,100,4.81,snow
98,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
99,Tyukhtet,RU,56.5389,89.3011,-15.41,98,7,5.3,clear sky
100,Galesong,ID,-5.3166,119.3661,75.22,77,100,5.7,overcast clouds
101,Ancud,CL,-41.8697,-73.8203,58.53,75,4,6.06,clear sky
102,Tiksi,RU,71.6872,128.8694,-18.78,98,58,9.35,broken clouds
103,Kodinsk,RU,58.6881,99.1844,-27.58,100,21,2.86,few clouds
104,Cabo San Lucas,MX,22.8909,-109.9124,76.3,59,4,1.99,clear sky
105,Ilulissat,GL,69.2167,-51.1,-5.78,59,97,19.57,overcast clouds
106,Ipixuna,BR,-1.7625,-48.8043,78.75,97,99,2.64,overcast clouds
107,Rabo De Peixe,PT,37.8,-25.5833,56.28,94,20,5.75,few clouds
108,Srednekolymsk,RU,67.45,153.6833,-36.96,96,71,5.32,broken clouds
109,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,33,0,4.61,clear sky
110,Kosice,SK,48.6667,21.3333,37.33,77,100,2.3,overcast clouds
111,Bolu,TR,40.6667,31.5833,30.85,98,100,6.04,light snow
112,Aguimes,ES,27.9054,-15.4461,67.66,45,0,0.0,clear sky
113,Kodiak,US,57.79,-152.4072,24.31,54,0,14.97,clear sky
114,Vilcun,CL,-38.65,-72.2333,56.64,78,6,2.37,clear sky
115,Fort Nelson,CA,58.8053,-122.7002,4.59,78,100,4.61,overcast clouds
116,West Lorne,CA,42.6001,-81.5998,21.97,90,14,9.08,few clouds
117,Christchurch,NZ,-43.5333,172.6333,65.32,88,75,10.36,heavy intensity drizzle
118,Dalbandin,PK,28.8947,64.4101,49.32,38,0,4.65,clear sky
119,Tessalit,ML,20.1986,1.0114,64.89,9,0,9.62,clear sky
120,Saint-Francois,FR,46.4154,3.9054,31.41,98,8,2.3,clear sky
121,Progreso,MX,21.2833,-89.6667,66.11,77,100,16.84,overcast clouds
122,Amuntai,ID,-2.4177,115.2494,72.72,98,100,1.74,overcast clouds
123,Pemberton,CA,50.3164,-122.8027,42.49,98,100,5.1,overcast clouds
124,Skelleftea,SE,64.7507,20.9528,21.56,93,0,11.5,clear sky
125,Constantine,DZ,36.365,6.6147,40.41,93,20,5.75,few clouds
