City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Busselton,AU,68.04,clear sky,-33.65,115.3333,Observatory Guest House
8,Rikitea,PF,78.96,light rain,-23.1203,-134.9692,People ThankYou
9,Sinnamary,GF,76.8,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
11,Cape Town,ZA,65.08,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
12,Hobart,AU,78.26,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
13,Karangampel,ID,80.35,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
14,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Te Anau,NZ,68.25,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
18,Hilo,US,76.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Lisala,CD,69.49,broken clouds,2.15,21.5167,Flat hôtel tozelaka
20,East London,ZA,72.95,few clouds,-33.0153,27.9116,Tu Casa
21,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
24,Fortuna,US,64.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
27,New Norfolk,AU,77.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
29,Chuy,UY,63.32,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Bluff,NZ,62.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Yulara,AU,80.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
35,Mataura,NZ,62.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
36,Ugoofaaru,MV,80.94,overcast clouds,5.6667,73.0,Ungoofaaru Inn
40,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
41,Sao Filipe,CV,72.57,clear sky,14.8961,-24.4956,Hotel Xaguate
42,Uribia,CO,79.74,broken clouds,11.7139,-72.266,Hotel Uribia
43,Santarem,BR,77.13,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
44,Auchi,NG,70.74,clear sky,7.0667,6.2667,LECKY PLACE & HOTEL
45,Prescott,US,61.16,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
46,Port Alfred,ZA,69.96,scattered clouds,-33.5906,26.891,The Halyards Hotel
47,Half Moon Bay,US,73.31,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
49,San Patricio,US,61.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
51,Neiafu,TO,77.68,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
53,Puerto Ayora,EC,74.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Keti Bandar,PK,68.65,clear sky,24.1447,67.4497,Haji laloo memon house
59,Thinadhoo,MV,82.92,overcast clouds,0.5333,72.9333,
60,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
62,Kruisfontein,ZA,64.74,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
63,Kisangani,CD,73.96,overcast clouds,0.5167,25.2,Grand Ramela Hotel
64,Bengkulu,ID,77.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Mount Gambier,AU,69.71,overcast clouds,-37.8333,140.7667,The Commodore
67,Hithadhoo,MV,82.13,overcast clouds,-0.6,73.0833,Scoop Guest House
68,Kapaa,US,80.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Ilhabela,BR,73.26,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
73,Atuona,PF,78.82,few clouds,-9.8,-139.0333,Villa Enata
76,Sibolga,ID,75.85,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
79,Kilindoni,TZ,80.56,overcast clouds,-7.9139,39.6668,Bustani B&B
80,George,ZA,63.95,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
81,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
84,Bredasdorp,ZA,62.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
85,Avarua,CK,78.85,drizzle,-21.2078,-159.775,Paradise Inn
86,Talcahuano,CL,61.84,clear sky,-36.7167,-73.1167,departamento comodo
87,Lompoc,US,77.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
89,Victoria,HK,62.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
90,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
93,Tshikapa,CD,71.15,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
95,Mangrol,IN,66.04,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
