City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Myanaung,MM,2022-01-27 22:38:12,18.2833,95.3167,64.17,68,22,3.69
1,Bathsheba,BB,2022-01-27 22:38:12,13.2167,-59.5167,77.61,69,20,10.36
2,Hithadhoo,MV,2022-01-27 22:38:13,-0.6,73.0833,81.1,69,79,15.01
3,Saint Anthony,US,2022-01-27 22:38:13,45.0205,-93.218,22.93,49,0,11.5
4,Ushuaia,AR,2022-01-27 22:33:50,-54.8,-68.3,51.46,71,75,14.97
5,Ust-Omchug,RU,2022-01-27 22:38:14,61.15,149.6333,-9.76,99,100,9.71
6,Bambous Virieux,MU,2022-01-27 22:38:14,-20.3428,57.7575,75.45,78,20,3.44
7,Kavieng,PG,2022-01-27 22:38:15,-2.5744,150.7967,84.83,67,69,7.14
8,Atuona,PF,2022-01-27 22:38:15,-9.8,-139.0333,78.33,78,2,17.9
9,Bluff,NZ,2022-01-27 22:38:15,-46.6,168.3333,62.8,57,70,4.27
10,Butaritari,KI,2022-01-27 22:38:16,3.0707,172.7902,82.24,77,31,16.13
11,Dingle,PH,2022-01-27 22:38:16,10.9995,122.6711,76.1,92,73,5.82
12,Narsaq,GL,2022-01-27 22:38:17,60.9167,-46.05,19.62,93,21,6.38
13,Enid,US,2022-01-27 22:38:17,36.3956,-97.8784,47.43,54,0,13.8
14,Trincomalee,LK,2022-01-27 22:38:17,8.5711,81.2335,79.09,71,100,11.88
15,Kankan,GN,2022-01-27 22:38:18,10.3854,-9.3057,76.91,17,54,3.71
16,Vaini,TO,2022-01-27 22:38:18,-21.2,-175.2,82.81,77,92,15.64
17,Kropotkin,RU,2022-01-27 22:38:18,45.4375,40.5756,19.33,97,50,4.65
18,Flin Flon,CA,2022-01-27 22:38:19,54.7682,-101.865,1.24,60,75,5.75
19,Mataura,NZ,2022-01-27 22:38:19,-46.1927,168.8643,62.47,35,52,1.34
20,Taoudenni,ML,2022-01-27 22:38:19,22.6783,-3.9836,70.34,16,100,13.35
21,Dharangaon,IN,2022-01-27 22:38:20,21.0167,75.2667,55.98,37,0,5.1
22,Sao Filipe,CV,2022-01-27 22:38:20,14.8961,-24.4956,72.27,72,100,11.03
23,Tiznit,MA,2022-01-27 22:38:20,29.5833,-9.5,54.0,48,98,7.43
24,Saint-Philippe,RE,2022-01-27 22:38:21,-21.3585,55.7679,72.99,82,68,6.44
25,Bara,NG,2022-01-27 22:38:21,10.3744,10.7288,68.9,33,34,11.83
26,Ous,RU,2022-01-27 22:38:22,60.9058,61.5186,2.73,94,87,4.83
27,Presidente Epitacio,BR,2022-01-27 22:38:22,-21.7633,-52.1156,77.34,81,96,2.8
28,Tuatapere,NZ,2022-01-27 22:38:22,-46.1333,167.6833,62.82,42,78,2.75
29,Pevek,RU,2022-01-27 22:38:23,69.7008,170.3133,-27.96,99,23,3.27
30,Mount Gambier,AU,2022-01-27 22:38:23,-37.8333,140.7667,66.11,82,100,6.91
31,Haines Junction,CA,2022-01-27 22:38:23,60.7522,-137.5108,19.35,79,100,3.44
32,Bud,US,2022-01-27 22:38:24,39.447,-86.1758,34.25,80,100,8.63
33,Aasiaat,GL,2022-01-27 22:38:24,68.7098,-52.8699,-2.27,95,99,11.81
34,Saint George,US,2022-01-27 22:36:05,37.1041,-113.5841,59.47,15,0,1.99
35,Port Elizabeth,ZA,2022-01-27 22:38:24,-33.918,25.5701,68.09,94,0,9.22
36,Guerrero Negro,MX,2022-01-27 22:38:25,27.9769,-114.0611,71.31,28,62,9.28
37,Tuktoyaktuk,CA,2022-01-27 22:38:25,69.4541,-133.0374,-20.2,76,20,9.22
38,Umm Kaddadah,SD,2022-01-27 22:38:26,13.6017,26.6876,54.93,18,52,18.19
39,Belaya Gora,RU,2022-01-27 22:38:26,68.5333,146.4167,-41.51,100,42,3.4
40,Nouadhibou,MR,2022-01-27 22:38:26,20.931,-17.0347,64.38,77,100,16.11
41,Bredasdorp,ZA,2022-01-27 22:38:27,-34.5322,20.0403,67.32,73,4,6.91
42,Lavrentiya,RU,2022-01-27 22:38:27,65.5833,-171.0,-12.12,88,39,2.57
43,Port Alfred,ZA,2022-01-27 22:38:27,-33.5906,26.891,71.92,88,61,13.62
44,Mattoon,US,2022-01-27 22:38:28,39.4831,-88.3728,35.65,74,100,4.61
45,Punta Arenas,CL,2022-01-27 22:38:06,-53.15,-70.9167,57.31,67,0,10.36
46,Birao,CF,2022-01-27 22:39:28,10.2849,22.7882,70.0,17,87,10.67
47,Saucillo,MX,2022-01-27 22:39:29,28.0167,-105.2833,70.72,13,74,1.34
48,Canutama,BR,2022-01-27 22:39:29,-6.5339,-64.3831,76.24,96,88,1.7
49,Parambu,BR,2022-01-27 22:39:29,-6.2111,-40.6944,71.29,87,100,4.76
50,Port Hardy,CA,2022-01-27 22:39:30,50.6996,-127.4199,50.18,53,0,6.91
51,Dakar,SN,2022-01-27 22:39:30,14.6937,-17.4441,69.93,78,0,18.41
52,Gloversville,US,2022-01-27 22:39:31,43.0528,-74.3438,24.94,49,40,6.91
53,Saskylakh,RU,2022-01-27 22:39:31,71.9167,114.0833,2.61,86,69,13.69
54,Cabo San Lucas,MX,2022-01-27 22:35:51,22.8909,-109.9124,77.5,51,40,4.0
55,Dikson,RU,2022-01-27 22:39:32,73.5069,80.5464,1.24,95,100,26.53
56,Kawalu,ID,2022-01-27 22:39:32,-7.3817,108.2082,72.55,94,100,1.54
